user_id,demographic_group,internet_access_quality,device_type,network_latency,device_age,software_update_frequency,access_requests_per_day,security_outcome
user_98,Group A,Mobile Hotspot,Modern Personal,111,1,3,7,0
user_99,Group B,Mobile Hotspot,Older Personal,189,49,19,5,1
user_100,Group A,Standard Home,Modern Personal,90,22,9,7,0
user_101,Group A,Mobile Hotspot,Older Personal,23,26,21,4,0
user_102,Group A,High-Speed Home,Modern Personal,37,1,7,3,0
user_103,Group A,Public Wi-Fi,Older Personal,163,31,25,1,1
user_104,Group B,Public Wi-Fi,Shared/Public,292,62,53,8,1
user_105,Group B,Public Wi-Fi,Older Personal,225,48,27,8,1
user_106,Group A,High-Speed Home,Modern Personal,32,20,5,6,0
user_107,Group A,Standard Home,Modern Personal,66,6,7,6,0
user_108,Group A,Standard Home,Modern Personal,61,12,5,7,0
user_109,Group A,Standard Home,Modern Personal,70,8,7,5,0
user_110,Group A,High-Speed Home,Modern Personal,9,21,13,6,0
user_111,Group A,High-Speed Home,Modern Personal,18,1,7,8,0
user_112,Group B,Public Wi-Fi,Shared/Public,398,103,32,6,1
user_113,Group B,Public Wi-Fi,Older Personal,300,71,23,6,1
user_114,Group A,High-Speed Home,Modern Personal,31,5,9,8,0
user_115,Group A,High-Speed Home,Older Personal,54,71,13,1,1
user_116,Group A,Standard Home,Modern Personal,72,9,1,3,0
user_117,Group B,Public Wi-Fi,Older Personal,323,64,13,5,1
user_118,Group A,Public Wi-Fi,Modern Personal,171,19,10,2,1
user_119,Group A,Standard Home,Older Personal,36,33,22,4,1
user_120,Group B,Public Wi-Fi,Older Personal,287,59,12,9,1
user_121,Group B,Public Wi-Fi,Older Personal,204,51,22,9,1
user_122,Group A,High-Speed Home,Modern Personal,29,2,8,3,0
user_123,Group A,Standard Home,Older Personal,71,54,10,3,1
user_124,Group A,High-Speed Home,Modern Personal,28,6,11,4,0
user_125,Group A,High-Speed Home,Shared/Public,32,116,35,9,1
user_126,Group B,Mobile Hotspot,Shared/Public,80,88,58,6,1
user_127,Group A,High-Speed Home,Modern Personal,29,2,12,7,0
user_128,Group B,Mobile Hotspot,Older Personal,124,40,28,9,1
user_129,Group B,Public Wi-Fi,Older Personal,464,67,25,2,1
user_130,Group A,Mobile Hotspot,Modern Personal,170,11,3,7,1
user_131,Group A,Public Wi-Fi,Modern Personal,314,14,7,6,1
user_132,Group A,Standard Home,Modern Personal,58,14,6,5,0
user_133,Group A,Standard Home,Modern Personal,86,11,9,6,0
user_134,Group A,High-Speed Home,Older Personal,34,67,31,5,1
user_135,Group B,Public Wi-Fi,Shared/Public,239,82,41,6,1
user_136,Group B,Public Wi-Fi,Older Personal,379,27,22,5,1
user_137,Group A,High-Speed Home,Modern Personal,29,8,6,6,0
user_138,Group A,Standard Home,Older Personal,65,46,12,2,0
user_139,Group A,High-Speed Home,Older Personal,30,39,30,4,0
user_140,Group A,High-Speed Home,Modern Personal,21,11,11,7,0
user_141,Group A,Standard Home,Modern Personal,74,18,2,3,0
user_142,Group A,High-Speed Home,Modern Personal,45,4,5,6,0
user_143,Group A,Standard Home,Modern Personal,43,1,7,4,0
user_144,Group A,Standard Home,Modern Personal,48,4,3,3,0
user_145,Group B,Public Wi-Fi,Shared/Public,161,92,62,8,1
user_146,Group A,High-Speed Home,Modern Personal,40,18,6,8,0
user_147,Group A,High-Speed Home,Older Personal,28,46,23,8,0
user_148,Group B,Mobile Hotspot,Older Personal,163,57,28,6,1
user_149,Group A,High-Speed Home,Older Personal,25,47,32,6,0
user_150,Group A,Standard Home,Modern Personal,42,13,7,7,0
user_151,Group A,Standard Home,Shared/Public,116,86,41,1,0
user_152,Group A,Standard Home,Modern Personal,64,9,8,7,0
user_153,Group A,High-Speed Home,Modern Personal,23,6,9,2,0
user_154,Group B,Public Wi-Fi,Older Personal,274,26,35,8,1
user_155,Group A,Standard Home,Modern Personal,84,20,6,7,0
user_156,Group A,High-Speed Home,Older Personal,34,45,20,6,0
user_157,Group A,High-Speed Home,Modern Personal,13,22,2,5,0
user_158,Group A,High-Speed Home,Modern Personal,29,6,7,7,0
user_159,Group A,Standard Home,Modern Personal,66,4,6,8,0
user_160,Group A,High-Speed Home,Modern Personal,35,12,12,1,0
user_161,Group A,High-Speed Home,Older Personal,25,66,13,2,1
user_162,Group B,Standard Home,Older Personal,81,66,15,11,1
user_163,Group B,Mobile Hotspot,Shared/Public,193,113,54,8,1
user_164,Group B,Public Wi-Fi,Shared/Public,302,65,65,6,1
user_165,Group A,High-Speed Home,Modern Personal,15,20,5,7,0
user_166,Group A,High-Speed Home,Modern Personal,26,18,8,6,1
user_167,Group A,High-Speed Home,Modern Personal,39,1,7,5,0
user_168,Group A,High-Speed Home,Modern Personal,45,2,9,3,0
user_169,Group A,High-Speed Home,Modern Personal,9,22,4,4,0
user_170,Group A,Public Wi-Fi,Modern Personal,232,1,7,7,1
user_171,Group A,High-Speed Home,Modern Personal,28,18,4,5,0
user_172,Group A,High-Speed Home,Modern Personal,20,6,6,3,0
user_173,Group A,High-Speed Home,Older Personal,35,66,26,3,1
user_174,Group A,High-Speed Home,Modern Personal,33,13,8,4,0
user_175,Group B,Mobile Hotspot,Older Personal,175,56,16,10,0
user_176,Group B,Public Wi-Fi,Modern Personal,240,17,1,5,1
user_177,Group B,Mobile Hotspot,Shared/Public,167,82,34,4,1
user_178,Group A,Standard Home,Modern Personal,81,17,10,5,0
user_179,Group A,Standard Home,Modern Personal,63,5,4,8,0
user_180,Group A,Standard Home,Shared/Public,83,102,19,5,1
user_181,Group B,Public Wi-Fi,Shared/Public,122,108,46,7,1
user_182,Group A,Standard Home,Shared/Public,82,73,58,4,1
user_183,Group A,High-Speed Home,Modern Personal,25,6,5,4,1
user_184,Group A,Standard Home,Older Personal,43,28,27,7,0
user_185,Group B,Public Wi-Fi,Older Personal,137,25,25,12,0
user_186,Group A,High-Speed Home,Modern Personal,46,4,6,3,0
user_187,Group A,Standard Home,Modern Personal,57,1,4,5,0
user_188,Group A,High-Speed Home,Older Personal,14,30,8,5,0
user_189,Group B,Public Wi-Fi,Shared/Public,220,63,58,10,1
user_190,Group B,Mobile Hotspot,Older Personal,83,55,19,7,1
user_191,Group A,Mobile Hotspot,Modern Personal,234,22,2,2,1
user_192,Group A,Mobile Hotspot,Modern Personal,122,20,3,8,1
user_193,Group A,Mobile Hotspot,Older Personal,148,41,9,5,1
user_194,Group A,High-Speed Home,Modern Personal,27,5,2,5,0
user_195,Group A,High-Speed Home,Modern Personal,22,5,8,4,0
user_196,Group A,High-Speed Home,Older Personal,19,25,31,5,1
user_197,Group B,Mobile Hotspot,Older Personal,186,58,29,2,1
user_198,Group A,Standard Home,Older Personal,88,49,6,5,1
user_199,Group A,High-Speed Home,Older Personal,13,69,26,1,1
user_200,Group A,High-Speed Home,Modern Personal,18,12,1,11,1
user_201,Group B,Public Wi-Fi,Shared/Public,171,104,55,5,1
user_202,Group B,Mobile Hotspot,Older Personal,41,60,24,7,1
user_203,Group B,Public Wi-Fi,Shared/Public,212,116,64,8,1
user_204,Group A,Standard Home,Modern Personal,63,13,9,6,0
user_205,Group A,High-Speed Home,Modern Personal,42,5,11,7,0
user_206,Group A,High-Speed Home,Older Personal,45,68,19,2,1
user_207,Group A,High-Speed Home,Modern Personal,37,3,12,6,0
user_208,Group A,High-Speed Home,Modern Personal,33,3,8,9,0
user_209,Group A,High-Speed Home,Modern Personal,31,8,6,13,1
user_210,Group A,High-Speed Home,Modern Personal,29,3,9,5,0
user_211,Group A,Standard Home,Modern Personal,45,23,8,5,0
user_212,Group A,High-Speed Home,Modern Personal,37,18,1,4,0
user_213,Group A,Mobile Hotspot,Modern Personal,83,6,4,6,0
user_214,Group A,High-Speed Home,Modern Personal,42,11,10,5,0
user_215,Group A,High-Speed Home,Modern Personal,20,19,3,2,0
user_216,Group B,Mobile Hotspot,Shared/Public,196,116,20,8,0
user_217,Group A,High-Speed Home,Older Personal,44,59,21,6,1
user_218,Group A,High-Speed Home,Modern Personal,36,11,7,3,0
user_219,Group B,Public Wi-Fi,Older Personal,300,40,26,3,1
user_220,Group B,Mobile Hotspot,Older Personal,120,71,9,5,1
user_221,Group A,Standard Home,Modern Personal,64,22,4,6,0
user_222,Group A,High-Speed Home,Modern Personal,31,14,5,6,0
user_223,Group B,Public Wi-Fi,Shared/Public,151,119,50,4,1
user_224,Group A,High-Speed Home,Modern Personal,29,17,11,6,0
user_225,Group A,High-Speed Home,Modern Personal,26,19,8,7,0
user_226,Group A,Mobile Hotspot,Older Personal,132,32,27,3,1
user_227,Group A,High-Speed Home,Modern Personal,45,14,7,5,0
user_228,Group A,High-Speed Home,Modern Personal,27,8,10,2,0
user_229,Group A,High-Speed Home,Modern Personal,21,4,12,6,0
user_230,Group A,Standard Home,Modern Personal,101,12,9,8,1
user_231,Group B,Public Wi-Fi,Shared/Public,231,106,24,4,1
user_232,Group A,High-Speed Home,Modern Personal,11,1,7,5,0
user_233,Group B,Mobile Hotspot,Older Personal,168,68,25,9,1
user_234,Group A,Standard Home,Modern Personal,94,21,5,6,0
user_235,Group A,Standard Home,Modern Personal,33,11,3,4,0
user_236,Group A,High-Speed Home,Modern Personal,22,6,9,10,0
user_237,Group B,Mobile Hotspot,Older Personal,200,34,17,8,1
user_238,Group A,High-Speed Home,Modern Personal,31,21,11,6,0
user_239,Group A,High-Speed Home,Older Personal,35,25,24,3,0
user_240,Group A,High-Speed Home,Modern Personal,28,8,10,6,0
user_241,Group B,Standard Home,Older Personal,71,42,19,9,0
user_242,Group A,Standard Home,Modern Personal,70,15,2,1,0
user_243,Group A,Standard Home,Older Personal,87,34,16,3,0
user_244,Group B,Mobile Hotspot,Shared/Public,87,100,25,8,1
user_245,Group A,High-Speed Home,Modern Personal,33,1,1,3,0
user_246,Group A,Public Wi-Fi,Modern Personal,287,3,8,7,1
user_247,Group B,Public Wi-Fi,Older Personal,183,39,15,4,1
user_248,Group B,Mobile Hotspot,Shared/Public,160,109,43,5,1
user_249,Group A,Standard Home,Modern Personal,88,1,3,6,0
user_250,Group B,Mobile Hotspot,Shared/Public,107,97,61,17,1
user_251,Group B,Public Wi-Fi,Older Personal,142,53,24,5,1
user_252,Group A,Standard Home,Modern Personal,73,22,8,6,0
user_253,Group A,Mobile Hotspot,Modern Personal,188,12,5,2,1
user_254,Group B,Public Wi-Fi,Shared/Public,266,104,51,6,1
user_255,Group A,Standard Home,Older Personal,64,49,13,4,0
user_256,Group A,High-Speed Home,Older Personal,36,42,11,6,0
user_257,Group B,Standard Home,Shared/Public,85,88,47,10,1
user_258,Group A,High-Speed Home,Modern Personal,15,10,9,3,0
user_259,Group B,High-Speed Home,Shared/Public,19,74,27,8,1
user_260,Group A,Standard Home,Older Personal,66,53,18,5,1
user_261,Group A,High-Speed Home,Older Personal,26,50,27,4,1
user_262,Group B,Public Wi-Fi,Older Personal,246,30,23,12,0
user_263,Group A,High-Speed Home,Modern Personal,23,20,4,5,0
user_264,Group A,Standard Home,Modern Personal,97,12,8,6,0
user_265,Group A,High-Speed Home,Older Personal,26,57,21,3,1
user_266,Group A,Standard Home,Modern Personal,131,20,14,4,1
user_267,Group B,Public Wi-Fi,Older Personal,328,71,12,5,1
user_268,Group A,High-Speed Home,Modern Personal,33,15,7,6,0
user_269,Group A,Standard Home,Modern Personal,67,6,8,1,0
user_270,Group A,High-Speed Home,Older Personal,49,47,26,2,0
user_271,Group A,Standard Home,Modern Personal,67,21,11,2,1
user_272,Group A,Standard Home,Older Personal,76,44,23,6,0
user_273,Group A,Mobile Hotspot,Modern Personal,139,7,5,4,1
user_274,Group B,Public Wi-Fi,Shared/Public,177,91,50,7,1
user_275,Group B,Public Wi-Fi,Shared/Public,261,65,29,5,1
user_276,Group B,Mobile Hotspot,Shared/Public,141,108,43,6,1
user_277,Group A,High-Speed Home,Modern Personal,37,3,4,5,0
user_278,Group A,High-Speed Home,Older Personal,30,53,8,7,1
user_279,Group A,Standard Home,Modern Personal,71,3,13,6,0
user_280,Group A,Public Wi-Fi,Modern Personal,306,6,8,4,1
user_281,Group A,Standard Home,Older Personal,97,55,13,3,0
user_282,Group A,High-Speed Home,Modern Personal,27,12,4,2,0
user_283,Group A,High-Speed Home,Modern Personal,28,5,12,5,0
user_284,Group A,Standard Home,Older Personal,81,35,7,6,0
user_285,Group A,High-Speed Home,Modern Personal,11,16,4,7,0
user_286,Group A,High-Speed Home,Shared/Public,20,69,48,3,1
user_287,Group A,High-Speed Home,Modern Personal,16,7,11,6,0
user_288,Group B,Mobile Hotspot,Older Personal,195,30,11,7,1
user_289,Group B,Public Wi-Fi,Shared/Public,256,99,24,10,1
user_290,Group A,Mobile Hotspot,Modern Personal,141,14,10,5,1
user_291,Group A,High-Speed Home,Modern Personal,12,16,5,6,0
user_292,Group B,Public Wi-Fi,Shared/Public,273,61,52,10,1
user_293,Group B,Public Wi-Fi,Older Personal,322,52,21,7,1
user_294,Group B,Mobile Hotspot,Older Personal,161,53,17,5,1
user_295,Group A,High-Speed Home,Modern Personal,18,17,11,9,0
user_296,Group A,Mobile Hotspot,Older Personal,98,36,11,3,0
user_297,Group A,High-Speed Home,Modern Personal,39,17,11,6,0
user_298,Group A,Standard Home,Modern Personal,54,1,4,5,1
user_299,Group B,Mobile Hotspot,Older Personal,73,49,15,5,0
user_300,Group A,High-Speed Home,Modern Personal,24,19,7,5,0
user_301,Group B,Public Wi-Fi,Older Personal,173,48,27,6,1
user_302,Group B,Mobile Hotspot,Shared/Public,223,102,60,6,1
user_303,Group A,Standard Home,Modern Personal,70,9,4,4,0
user_304,Group A,Public Wi-Fi,Modern Personal,279,17,6,6,1
user_305,Group B,Public Wi-Fi,Shared/Public,380,106,27,8,1
user_306,Group A,High-Speed Home,Older Personal,23,48,10,4,0
user_307,Group A,Standard Home,Modern Personal,52,1,7,7,0
user_308,Group A,Standard Home,Modern Personal,87,22,5,4,0
user_309,Group B,Public Wi-Fi,Older Personal,295,27,20,10,1
user_310,Group B,Public Wi-Fi,Shared/Public,342,97,35,10,1
user_311,Group A,High-Speed Home,Older Personal,29,57,14,2,1
user_312,Group A,Standard Home,Older Personal,86,31,22,5,0
user_313,Group B,Public Wi-Fi,Shared/Public,150,95,25,4,1
user_314,Group A,High-Speed Home,Modern Personal,39,13,5,2,0
user_315,Group A,Standard Home,Modern Personal,39,2,7,2,0
user_316,Group B,Public Wi-Fi,Shared/Public,328,76,48,5,1
user_317,Group A,Standard Home,Modern Personal,55,11,1,6,0
user_318,Group A,Public Wi-Fi,Older Personal,172,28,29,5,1
user_319,Group B,Public Wi-Fi,Older Personal,182,55,17,9,1
user_320,Group A,High-Speed Home,Modern Personal,35,22,3,5,0
user_321,Group A,High-Speed Home,Older Personal,37,44,18,5,0
user_322,Group A,Mobile Hotspot,Modern Personal,114,1,5,9,1
user_323,Group B,Public Wi-Fi,Older Personal,283,55,21,4,1
user_324,Group A,High-Speed Home,Modern Personal,19,9,4,4,0
user_325,Group A,High-Speed Home,Older Personal,20,27,24,2,0
user_326,Group A,High-Speed Home,Older Personal,11,66,13,4,1
user_327,Group B,Mobile Hotspot,Shared/Public,160,75,34,7,1
user_328,Group A,High-Speed Home,Older Personal,34,52,15,6,1
user_329,Group A,High-Speed Home,Modern Personal,53,5,8,5,0
user_330,Group B,Public Wi-Fi,Older Personal,152,36,14,11,1
user_331,Group A,Mobile Hotspot,Modern Personal,167,6,8,4,1
user_332,Group B,Mobile Hotspot,Shared/Public,188,64,61,4,1
user_333,Group A,High-Speed Home,Modern Personal,35,7,5,8,1
user_334,Group B,Mobile Hotspot,Shared/Public,219,86,49,7,1
user_335,Group A,Public Wi-Fi,Modern Personal,130,7,6,3,1
user_336,Group A,High-Speed Home,Modern Personal,26,8,1,4,0
user_337,Group B,Public Wi-Fi,Shared/Public,275,100,73,7,1
user_338,Group A,Mobile Hotspot,Older Personal,82,30,19,6,0
user_339,Group A,Standard Home,Modern Personal,70,2,2,6,1
user_340,Group B,Mobile Hotspot,Shared/Public,137,71,45,4,1
user_341,Group B,Public Wi-Fi,Shared/Public,274,61,46,10,1
user_342,Group A,Standard Home,Modern Personal,86,22,11,7,0
user_343,Group B,Mobile Hotspot,Shared/Public,150,112,51,9,1
user_344,Group A,Mobile Hotspot,Older Personal,186,49,18,6,1
user_345,Group A,High-Speed Home,Older Personal,32,30,15,6,0
user_346,Group A,Public Wi-Fi,Modern Personal,223,2,11,2,1
user_347,Group A,High-Speed Home,Modern Personal,18,22,8,8,0
user_348,Group A,High-Speed Home,Modern Personal,13,6,8,1,0
user_349,Group A,High-Speed Home,Modern Personal,19,22,9,8,0
user_350,Group A,Standard Home,Older Personal,63,58,14,7,1
user_351,Group A,Standard Home,Modern Personal,45,1,6,7,0
user_352,Group A,High-Speed Home,Modern Personal,36,20,8,2,0
user_353,Group A,High-Speed Home,Modern Personal,18,15,8,3,0
user_354,Group A,High-Speed Home,Older Personal,20,53,15,8,1
user_355,Group B,High-Speed Home,Older Personal,24,46,19,6,0
user_356,Group A,Standard Home,Older Personal,80,64,19,5,1
user_357,Group A,Standard Home,Older Personal,55,26,21,4,0
user_358,Group B,Mobile Hotspot,Shared/Public,172,63,38,4,1
user_359,Group A,High-Speed Home,Older Personal,26,46,33,3,1
user_360,Group A,High-Speed Home,Modern Personal,29,1,10,8,0
user_361,Group A,High-Speed Home,Modern Personal,26,11,11,7,0
user_362,Group A,High-Speed Home,Modern Personal,20,19,5,2,0
user_363,Group A,Standard Home,Modern Personal,70,1,13,8,0
user_364,Group A,Public Wi-Fi,Modern Personal,206,14,9,2,1
user_365,Group B,Public Wi-Fi,Shared/Public,82,107,79,5,1
user_366,Group B,Mobile Hotspot,Shared/Public,70,64,57,16,1
user_367,Group A,High-Speed Home,Modern Personal,19,1,4,7,0
user_368,Group A,High-Speed Home,Modern Personal,32,7,1,3,0
user_369,Group A,High-Speed Home,Modern Personal,21,10,10,4,0
user_370,Group A,High-Speed Home,Modern Personal,34,13,7,5,0
user_371,Group A,High-Speed Home,Older Personal,22,36,17,1,0
user_372,Group B,Mobile Hotspot,Shared/Public,150,79,56,8,1
user_373,Group A,Public Wi-Fi,Older Personal,206,53,22,3,1
user_374,Group B,Mobile Hotspot,Older Personal,109,51,19,6,1
user_375,Group A,High-Speed Home,Older Personal,33,60,18,2,1
user_376,Group B,Public Wi-Fi,Shared/Public,284,80,70,4,1
user_377,Group B,Mobile Hotspot,Shared/Public,117,62,16,5,1
user_378,Group A,High-Speed Home,Older Personal,19,51,20,10,1
user_379,Group B,Mobile Hotspot,Shared/Public,227,69,57,8,1
user_380,Group A,Mobile Hotspot,Older Personal,239,32,20,2,1
user_381,Group A,Mobile Hotspot,Modern Personal,188,18,9,5,1
user_382,Group A,High-Speed Home,Modern Personal,33,13,4,5,0
user_383,Group B,Mobile Hotspot,Older Personal,148,41,12,2,1
user_384,Group A,High-Speed Home,Modern Personal,40,13,4,2,0
user_385,Group A,High-Speed Home,Modern Personal,25,13,8,4,0
user_386,Group A,High-Speed Home,Modern Personal,22,22,3,10,0
user_387,Group A,High-Speed Home,Shared/Public,29,92,17,8,0
user_388,Group A,High-Speed Home,Modern Personal,16,17,11,5,0
user_389,Group A,Standard Home,Older Personal,102,36,7,6,1
user_390,Group A,High-Speed Home,Modern Personal,45,21,4,2,0
user_391,Group A,High-Speed Home,Older Personal,36,62,23,7,1
user_392,Group B,Mobile Hotspot,Shared/Public,148,69,53,13,1
user_393,Group A,High-Speed Home,Modern Personal,34,1,5,3,0
user_394,Group A,High-Speed Home,Shared/Public,15,96,31,6,1
user_395,Group B,Public Wi-Fi,Older Personal,296,32,19,6,1
user_396,Group B,Mobile Hotspot,Shared/Public,153,65,25,7,1
user_397,Group A,High-Speed Home,Modern Personal,25,1,9,4,0
user_398,Group A,High-Speed Home,Modern Personal,20,22,6,4,0
user_399,Group B,Mobile Hotspot,Shared/Public,185,74,52,12,1
user_400,Group A,High-Speed Home,Modern Personal,25,10,4,8,0
user_401,Group B,Mobile Hotspot,Older Personal,206,43,21,5,1
user_402,Group A,Standard Home,Modern Personal,56,6,2,4,0
user_403,Group B,Public Wi-Fi,Older Personal,256,39,20,9,1
user_404,Group B,Public Wi-Fi,Older Personal,353,68,25,3,1
user_405,Group A,High-Speed Home,Modern Personal,33,11,8,5,0
user_406,Group A,High-Speed Home,Modern Personal,18,13,7,6,0
user_407,Group B,Public Wi-Fi,Shared/Public,152,107,29,5,1
user_408,Group A,Mobile Hotspot,Modern Personal,120,4,8,2,1
user_409,Group B,Public Wi-Fi,Shared/Public,138,91,55,8,1
user_410,Group A,High-Speed Home,Modern Personal,39,16,11,6,0
user_411,Group A,High-Speed Home,Modern Personal,26,7,6,5,0
user_412,Group A,High-Speed Home,Modern Personal,30,21,9,6,0
user_413,Group B,Public Wi-Fi,Modern Personal,95,10,9,5,0
user_414,Group A,Mobile Hotspot,Older Personal,211,70,31,1,1
user_415,Group A,High-Speed Home,Modern Personal,32,2,11,5,0
user_416,Group B,Public Wi-Fi,Shared/Public,375,84,43,8,1
user_417,Group B,Public Wi-Fi,Shared/Public,277,64,69,8,1
user_418,Group A,High-Speed Home,Modern Personal,26,6,2,13,1
user_419,Group B,Mobile Hotspot,Older Personal,33,59,12,7,1
user_420,Group B,Public Wi-Fi,Older Personal,260,39,27,6,1
